raw_index,id,title,url,decision,reason,reading_source_id,duplicate_of
0,arxiv:2412.18727,SAFLITE: Fuzzing Autonomous Systems via Large Language Models,https://arxiv.org/abs/2412.18727,needs_full_text,LLM-guided fuzzing of autonomous systems naming PX4 and ArduPilot (cross-autopilot execution criterion),C001,
1,arxiv:2505.02357,RouthSearch: Inferring PID Parameter Specification for Flight Control Program by Coordinate Search,https://arxiv.org/abs/2505.02357,linked_inspected,exact identifier alias of inspected record U4,U4,
2,arxiv:2602.07264,"aerial-autonomy-stack -- a Faster-than-real-time, Autopilot-agnostic, ROS2 Framework to Simulate and Deploy Perception-based Drones",https://arxiv.org/abs/2602.07264,linked_inspected,exact identifier alias of inspected record U5,U5,
3,doi:10.1016/j.compeleceng.2026.111144,"Flight log analysis and recovery for open-source drones: Focusing on ArduPilot, PX4, and Betaflight",https://doi.org/10.1016/j.compeleceng.2026.111144,unresolved_metadata,"cross-autopilot title (ArduPilot, PX4, Betaflight) but 'recovery' may mean log-data recovery; no abstract retained",C004,
4,arxiv:2601.15486,A Universal Large Language Model -- Drone Command and Control Interface,https://arxiv.org/abs/2601.15486,unresolved_metadata,"universal command-and-control interface over PX4/ArduPilot: cross-autopilot execution possible, recovery behaviour unclear from abstract",C005,
5,doi:10.1109/cars67163.2025.11337711,Security Triage of Flight-Critical ArduPilot and PX4 Modules with a Multi-LLM Ensemble,https://doi.org/10.1109/cars67163.2025.11337711,exclude_out_of_scope,exclude_out_of_scope: security attack or protocol hardening without recovery-behaviour evaluation,,
6,doi:10.1109/iwcmc.2019.8766667,MAVSec: Securing the MAVLink Protocol for Ardupilot/PX4 Unmanned Aerial Systems,https://doi.org/10.1109/iwcmc.2019.8766667,exclude_out_of_scope,exclude_out_of_scope: security attack or protocol hardening without recovery-behaviour evaluation,,
7,doi:10.3846/mla.2012.66,ERROR ANALYSIS OF INS ARRANGED IN ARDUPILOT MEGA / „ARDUPILOT MEGA“ AUTOPILOTO INERCINIO NAVIGACIJOS ĮRENGINIO PAKLAIDŲ ANALIZĖ,https://doi.org/10.3846/mla.2012.66,exclude_out_of_scope,"exclude_out_of_scope: UAV control/hardware/design/estimation work with no recovery policy, communication-loss behaviour or cross-autopilot execution",,
8,doi:10.1109/metroaerospace.2015.7180682,Safety improvement of fixed wing mini-UAV based on handy FDI current sensor and a FailSafe configuration of control surface actuators,https://doi.org/10.1109/metroaerospace.2015.7180682,exclude_out_of_scope,"exclude_out_of_scope: UAV control/hardware/design/estimation work with no recovery policy, communication-loss behaviour or cross-autopilot execution",,
9,doi:10.1109/sysose.2011.5966615,Fuzzy logic controlled UAV autopilot using C-Mean clustering,https://doi.org/10.1109/sysose.2011.5966615,exclude_out_of_scope,"exclude_out_of_scope: UAV control/hardware/design/estimation work with no recovery policy, communication-loss behaviour or cross-autopilot execution",,
10,doi:10.14801/jkiit.2023.21.7.23,Development of a PX4-based Control Algorithm for Differential-Drive Robot Autopilot,https://doi.org/10.14801/jkiit.2023.21.7.23,exclude_out_of_scope,"exclude_out_of_scope: UAV control/hardware/design/estimation work with no recovery policy, communication-loss behaviour or cross-autopilot execution",,
11,doi:10.18130/v3c33w,University of Virginia Network Failsafe and Disaster Recovery Plans,https://doi.org/10.18130/v3c33w,exclude_out_of_scope,exclude_out_of_scope: unrelated domain (not UAV autopilot software); criterion: unrelated domains excluded,,
12,doi:10.31224/4462,Evaluation and Analysis of ArduPilot Automatic Tuning Algorithm for the Roll Tracking Controller of a Small UAS,https://doi.org/10.31224/4462,exclude_out_of_scope,"exclude_out_of_scope: UAV control/hardware/design/estimation work with no recovery policy, communication-loss behaviour or cross-autopilot execution",,
13,doi:10.36227/techrxiv.176287995.54551665/v1,Activity-Aware Recovery from Network Communication Loss in Teleoperated Robotic Surgery,https://doi.org/10.36227/techrxiv.176287995.54551665/v1,exclude_out_of_scope,exclude_out_of_scope: unrelated domain (not UAV autopilot software); criterion: unrelated domains excluded,,
14,doi:10.70675/9b66bfeczccd1z4c80zaa24z60ced0bf93dd,A generalized asynchronous method preserving the data quality of real-time embedded systems : Case of the PX4-RT autopilot,https://doi.org/10.70675/9b66bfeczccd1z4c80zaa24z60ced0bf93dd,exclude_out_of_scope,"exclude_out_of_scope: UAV control/hardware/design/estimation work with no recovery policy, communication-loss behaviour or cross-autopilot execution",,
