id,title,year,url,abstract,triage_score,matches_known_d01_anchor,screening_status,provenance
arxiv:2412.18727,SAFLITE: Fuzzing Autonomous Systems via Large Language Models,2024,https://arxiv.org/abs/2412.18727,"Fuzz testing effectively uncovers software vulnerabilities; however, it faces challenges with Autonomous Systems (AS) due to their vast search spaces and complex state spaces, which reflect the unpredictability and complexity of real-world environments. This paper presents a universal framework aimed at improving the efficiency of fuzz testing for AS. At its core is SaFliTe, a predictive component that evaluates whether a test case meets predefined safety criteria. By leveraging the large language model (LLM) with information about the test objective and the AS state, SaFliTe assesses the relevance of each test case. We evaluated SaFliTe by instantiating it with various LLMs, including GPT-3.5, Mistral-7B, and Llama2-7B, and integrating it into four fuzz testing tools: PGFuzz, DeepHyperion-UAV, CAMBA, and TUMB. These tools are designed specifically for testing autonomous drone control systems, such as ArduPilot, PX4, and PX4-Avoidance. The experimental results demonstrate that, compared to PGFuzz, SaFliTe increased the likelihood of selecting operations that triggered bug occurrences in each fuzzing iteration by an average of 93.1\%. Additionally, after integrating SaFliTe, the ability of DeepHyperion-UAV, CAMBA, and TUMB to generate test cases that caused system violations increased by 234.5\%, 33.3\%, and 17.8\%, respectively. The benchmark for this evaluation was sourced from a UAV Testing Competition.",10,False,UNSCREENED,"[{""abstract_available"": true, ""db"": ""arxiv"", ""query"": ""PX4 ArduPilot testing"", ""rank"": 3, ""source_id"": ""arxiv:2412.18727""}, {""abstract_available"": true, ""db"": ""arxiv"", ""query"": ""ArduPilot fuzzing"", ""rank"": 1, ""source_id"": ""arxiv:2412.18727""}]"
doi:10.1016/j.compeleceng.2026.111144,"Flight log analysis and recovery for open-source drones: Focusing on ArduPilot, PX4, and Betaflight",2026,https://doi.org/10.1016/j.compeleceng.2026.111144,,8,False,UNSCREENED,"[{""abstract_available"": false, ""db"": ""crossref"", ""query"": ""PX4 ArduPilot failsafe differential testing"", ""rank"": 3, ""source_id"": ""doi:10.1016/j.compeleceng.2026.111144""}, {""abstract_available"": false, ""db"": ""crossref"", ""query"": ""PX4 ArduPilot recovery benchmark"", ""rank"": 2, ""source_id"": ""doi:10.1016/j.compeleceng.2026.111144""}]"
arxiv:2601.15486,A Universal Large Language Model -- Drone Command and Control Interface,2026,https://arxiv.org/abs/2601.15486,"The use of artificial intelligence (AI) for drone control can have a transformative impact on drone capabilities, especially when real world information can be integrated with drone sensing, command, and control, part of a growing field of physical AI. Large language models (LLMs) can be advantageous if trained at scale on general knowledge, but especially and in particular when the training data includes information such as detailed map geography topology of the entire planet, as well as the ability to access real time situational data such as weather. However, challenges remain in the interface between drones and LLMs in general, with each application requiring a tedious, labor intensive effort to connect the LLM trained knowledge to drone command and control. Here, we solve that problem, using an interface strategy that is LLM agnostic and drone agnostic, providing the first universal, versatile, comprehensive and easy to use drone control interface. We do this using the new model context protocol (MCP) standard, an open standard that provides a universal way for AI systems to access external data, tools, and services. We develop and deploy a cloud based Linux machine hosting an MCP server that supports the Mavlink protocol, an ubiquitous drone control language used almost universally by millions of drones including Ardupilot and PX4 framework.We demonstrate flight control of a real unmanned aerial vehicle. In further testing, we demonstrate extensive flight planning and c",6,False,UNSCREENED,"[{""abstract_available"": true, ""db"": ""arxiv"", ""query"": ""PX4 ArduPilot testing"", ""rank"": 5, ""source_id"": ""arxiv:2601.15486""}]"
doi:10.1109/cars67163.2025.11337711,Security Triage of Flight-Critical ArduPilot and PX4 Modules with a Multi-LLM Ensemble,2025,https://doi.org/10.1109/cars67163.2025.11337711,,6,False,UNSCREENED,"[{""abstract_available"": false, ""db"": ""crossref"", ""query"": ""PX4 ArduPilot failsafe differential testing"", ""rank"": 1, ""source_id"": ""doi:10.1109/cars67163.2025.11337711""}, {""abstract_available"": false, ""db"": ""crossref"", ""query"": ""PX4 ArduPilot recovery benchmark"", ""rank"": 1, ""source_id"": ""doi:10.1109/cars67163.2025.11337711""}]"
doi:10.1109/iwcmc.2019.8766667,MAVSec: Securing the MAVLink Protocol for Ardupilot/PX4 Unmanned Aerial Systems,2019,https://doi.org/10.1109/iwcmc.2019.8766667,,6,False,UNSCREENED,"[{""abstract_available"": false, ""db"": ""crossref"", ""query"": ""PX4 ArduPilot failsafe differential testing"", ""rank"": 2, ""source_id"": ""doi:10.1109/iwcmc.2019.8766667""}, {""abstract_available"": false, ""db"": ""crossref"", ""query"": ""PX4 ArduPilot recovery benchmark"", ""rank"": 3, ""source_id"": ""doi:10.1109/iwcmc.2019.8766667""}]"
doi:10.3846/mla.2012.66,ERROR ANALYSIS OF INS ARRANGED IN ARDUPILOT MEGA / „ARDUPILOT MEGA“ AUTOPILOTO INERCINIO NAVIGACIJOS ĮRENGINIO PAKLAIDŲ ANALIZĖ,2012,https://doi.org/10.3846/mla.2012.66,"Inertial navigation systems (INS) are widely used for controlling piloted or unmanned aerial vehicles (UAV). Automatic control equipment with INS has error budget making a huge impact on the accuracy of UAV navigation. The paper analyzes INS errors and types of errors. Experiments have been done using small UAV.


Santrauka


Inerciniai navigacijos įrenginiai (INS) plačiai naudojami pilotuojamuose ir nepilotuojamuose orlaiviuose. Nepilotuojamo orlaivio skrydžio tikslumui didelę įtaką turi orlaivio automatinio valdymo sistemos įrenginių paklaidos. Tyrime nagrinėjamas nepilotuojamas orlaivis, kurio automatinio valdymo sistemos dalis yra inercinis navigacijos įrenginys. Analizuojami INS įrenginių paklaidų šaltiniai, paklaidų tipai. Eksperimentiniai tyrimai atlikti naudojant mažo nepilotuojamo orlaivio automatinio valdymo sistemą.",6,False,UNSCREENED,"[{""abstract_available"": true, ""db"": ""crossref"", ""query"": ""PX4 ArduPilot failsafe differential testing"", ""rank"": 13, ""source_id"": ""doi:10.3846/mla.2012.66""}, {""abstract_available"": true, ""db"": ""crossref"", ""query"": ""PX4 ArduPilot recovery benchmark"", ""rank"": 7, ""source_id"": ""doi:10.3846/mla.2012.66""}]"
doi:10.1109/metroaerospace.2015.7180682,Safety improvement of fixed wing mini-UAV based on handy FDI current sensor and a FailSafe configuration of control surface actuators,2015,https://doi.org/10.1109/metroaerospace.2015.7180682,,5,False,UNSCREENED,"[{""abstract_available"": false, ""db"": ""crossref"", ""query"": ""UAV autopilot failsafe configuration testing fuzzing"", ""rank"": 2, ""source_id"": ""doi:10.1109/metroaerospace.2015.7180682""}]"
doi:10.1109/sysose.2011.5966615,Fuzzy logic controlled UAV autopilot using C-Mean clustering,2011,https://doi.org/10.1109/sysose.2011.5966615,,5,False,UNSCREENED,"[{""abstract_available"": false, ""db"": ""crossref"", ""query"": ""UAV autopilot failsafe configuration testing fuzzing"", ""rank"": 32, ""source_id"": ""doi:10.1109/sysose.2011.5966615""}]"
doi:10.14801/jkiit.2023.21.7.23,Development of a PX4-based Control Algorithm for Differential-Drive Robot Autopilot,2023,https://doi.org/10.14801/jkiit.2023.21.7.23,,5,False,UNSCREENED,"[{""abstract_available"": false, ""db"": ""crossref"", ""query"": ""PX4 ArduPilot failsafe differential testing"", ""rank"": 8, ""source_id"": ""doi:10.14801/jkiit.2023.21.7.23""}]"
doi:10.18130/v3c33w,University of Virginia Network Failsafe and Disaster Recovery Plans,,https://doi.org/10.18130/v3c33w,,5,False,UNSCREENED,"[{""abstract_available"": false, ""db"": ""crossref"", ""query"": ""PX4 ArduPilot failsafe differential testing"", ""rank"": 23, ""source_id"": ""doi:10.18130/v3c33w""}]"
