db,id,year,title,venue,type,url,query,already_screened_d01,triage_score,triage_terms
arxiv,arxiv:2606.22289,2026,Control-Aware Manipulation of ArduPilot via Legitimate MAVLink Commands: Simulation and Hardware Validation,,,https://arxiv.org/abs/2606.22289,PX4 ArduPilot failsafe differential testing,False,8,ardupilot;failsafe;configuration;uav
crossref,doi:10.1016/j.compeleceng.2026.111144,2026,"Flight log analysis and recovery for open-source drones: Focusing on ArduPilot, PX4, and Betaflight",Computers and Electrical Engineering,journal-article,https://doi.org/10.1016/j.compeleceng.2026.111144,PX4 ArduPilot failsafe differential testing,False,8,px4;ardupilot;recovery
arxiv,arxiv:1905.00265,2019,MAVSec: Securing the MAVLink Protocol for Ardupilot/PX4 Unmanned Aerial Systems,,,https://arxiv.org/abs/1905.00265,PX4 ArduPilot failsafe differential testing,False,7,px4;ardupilot;uav
arxiv,arxiv:1811.06948,2018,Closing the Gap in Swarm Robotics Simulations: An Extended Ardupilot/Gazebo plugin,,,https://arxiv.org/abs/1811.06948,PX4 ArduPilot failsafe differential testing,False,6,ardupilot;autopilot;uav
arxiv,arxiv:2512.01164,2025,Reverse Engineering and Control-Aware Security Analysis of the ArduPilot UAV Framework,,,https://arxiv.org/abs/2512.01164,PX4 ArduPilot failsafe differential testing,False,6,ardupilot;autopilot;uav
crossref,doi:10.3846/mla.2012.66,2012,ERROR ANALYSIS OF INS ARRANGED IN ARDUPILOT MEGA / „ARDUPILOT MEGA“ AUTOPILOTO INERCINIO NAVIGACIJOS ĮRENGINIO PAKLAIDŲ ANALIZĖ,Mokslas - Lietuvos ateitis,journal-article,https://doi.org/10.3846/mla.2012.66,PX4 ArduPilot failsafe differential testing,False,6,ardupilot;autopilot;uav
crossref,doi:10.1109/iwcmc.2019.8766667,2019,MAVSec: Securing the MAVLink Protocol for Ardupilot/PX4 Unmanned Aerial Systems,2019 15th International Wireless Communications &amp; Mobile Computing Conference (IWCMC),proceedings-article,https://doi.org/10.1109/iwcmc.2019.8766667,PX4 ArduPilot failsafe differential testing,False,6,px4;ardupilot
crossref,doi:10.1109/cars67163.2025.11337711,2025,Security Triage of Flight-Critical ArduPilot and PX4 Modules with a Multi-LLM Ensemble,2025 Cyber Awareness and Research Symposium (CARS),proceedings-article,https://doi.org/10.1109/cars67163.2025.11337711,PX4 ArduPilot failsafe differential testing,False,6,px4;ardupilot
arxiv,arxiv:2505.00432,2025,A Neural Network Mode for PX4 on Embedded Flight Controllers,,,https://arxiv.org/abs/2505.00432,PX4 ArduPilot failsafe differential testing,False,5,px4;autopilot
arxiv,arxiv:2511.14116,2025,FailSafe: High-performance Resilient Serving,,,https://arxiv.org/abs/2511.14116,PX4 ArduPilot failsafe differential testing,False,5,failsafe;recovery
arxiv,arxiv:2510.01642,2025,FailSafe: Reasoning and Recovery from Failures in Vision-Language-Action Models,,,https://arxiv.org/abs/2510.01642,PX4 ArduPilot failsafe differential testing,False,5,failsafe;recovery
crossref,doi:10.70675/9b66bfeczccd1z4c80zaa24z60ced0bf93dd,,A generalized asynchronous method preserving the data quality of real-time embedded systems : Case of the PX4-RT autopilot,,dissertation,https://doi.org/10.70675/9b66bfeczccd1z4c80zaa24z60ced0bf93dd,PX4 ArduPilot recovery benchmark,False,5,px4;autopilot
crossref,doi:10.36227/techrxiv.176287995.54551665/v1,2025,Activity-Aware Recovery from Network Communication Loss in Teleoperated Robotic Surgery,,posted-content,https://doi.org/10.36227/techrxiv.176287995.54551665/v1,UAV communication loss contingency recovery contract,False,5,recovery;communication loss
crossref,doi:10.14801/jkiit.2023.21.7.23,2023,Development of a PX4-based Control Algorithm for Differential-Drive Robot Autopilot,The Journal of Korean Institute of Information Technology,journal-article,https://doi.org/10.14801/jkiit.2023.21.7.23,PX4 ArduPilot failsafe differential testing,False,5,px4;autopilot
crossref,doi:10.31224/4462,2025,Evaluation and Analysis of ArduPilot Automatic Tuning Algorithm for the Roll Tracking Controller of a Small UAS,,posted-content,https://doi.org/10.31224/4462,PX4 ArduPilot recovery benchmark,False,5,ardupilot;autopilot
crossref,doi:10.1109/sysose.2011.5966615,2011,Fuzzy logic controlled UAV autopilot using C-Mean clustering,2011 6th International Conference on System of Systems Engineering,proceedings-article,https://doi.org/10.1109/sysose.2011.5966615,UAV autopilot failsafe configuration testing fuzzing,False,5,fuzz;autopilot;uav
crossref,doi:10.1109/metroaerospace.2015.7180682,2015,Safety improvement of fixed wing mini-UAV based on handy FDI current sensor and a FailSafe configuration of control surface actuators,2015 IEEE Metrology for Aerospace (MetroAeroSpace),proceedings-article,https://doi.org/10.1109/metroaerospace.2015.7180682,UAV autopilot failsafe configuration testing fuzzing,False,5,failsafe;configuration;uav
crossref,doi:10.18130/v3c33w,,University of Virginia Network Failsafe and Disaster Recovery Plans,,dissertation,https://doi.org/10.18130/v3c33w,PX4 ArduPilot failsafe differential testing,False,5,failsafe;recovery
arxiv,arxiv:2605.26938,2026,Developing a Totally Unimodular Linear Program for Optimal Conformance Checking: When and Why It Complements A*,,,https://arxiv.org/abs/2605.26938,multicopter failsafe behaviour conformance testing simulation,False,4,conformance;benchmark
arxiv,arxiv:1704.08605,2017,Failsafe Mechanism Design of Multicopters Based on Supervisory Control Theory,,,https://arxiv.org/abs/1704.08605,PX4 ArduPilot failsafe differential testing,False,4,failsafe;multicopter
