id,title,year,url,abstract,triage_score,matches_known_d01_anchor,screening_status,provenance,abstract_provenance
arxiv:2412.18727,SAFLITE: Fuzzing Autonomous Systems via Large Language Models,2024,https://arxiv.org/abs/2412.18727,"Fuzz testing effectively uncovers software vulnerabilities; however, it faces challenges with Autonomous Systems (AS) due to their vast search spaces and complex state spaces, which reflect the unpredictability and complexity of real-world environments. This paper presents a universal framework aimed at improving the efficiency of fuzz testing for AS. At its core is SaFliTe, a predictive component that evaluates whether a test case meets predefined safety criteria. By leveraging the large language model (LLM) with information about the test objective and the AS state, SaFliTe assesses the relevance of each test case. We evaluated SaFliTe by instantiating it with various LLMs, including GPT-3.5, Mistral-7B, and Llama2-7B, and integrating it into four fuzz testing tools: PGFuzz, DeepHyperion-UAV, CAMBA, and TUMB. These tools are designed specifically for testing autonomous drone control systems, such as ArduPilot, PX4, and PX4-Avoidance. The experimental results demonstrate that, compared to PGFuzz, SaFliTe increased the likelihood of selecting operations that triggered bug occurrences in each fuzzing iteration by an average of 93.1\%. Additionally, after integrating SaFliTe, the ability of DeepHyperion-UAV, CAMBA, and TUMB to generate test cases that caused system violations increased by 234.5\%, 33.3\%, and 17.8\%, respectively. The benchmark for this evaluation was sourced from a UAV Testing Competition.",10,False,UNSCREENED,"[{""abstract_available"": true, ""db"": ""arxiv"", ""query"": ""PX4 ArduPilot testing"", ""rank"": 3, ""source_id"": ""arxiv:2412.18727""}, {""abstract_available"": true, ""db"": ""arxiv"", ""query"": ""ArduPilot fuzzing"", ""rank"": 1, ""source_id"": ""arxiv:2412.18727""}]","{""abstract_available"": true, ""db"": ""arxiv"", ""query"": ""PX4 ArduPilot testing"", ""rank"": 3, ""source_id"": ""arxiv:2412.18727""}"
arxiv:2505.02357,RouthSearch: Inferring PID Parameter Specification for Flight Control Program by Coordinate Search,2025,https://arxiv.org/abs/2505.02357,"Flight control programs use PID control modules with user-configurable Proportional (P), Integral (I), and Derivative (D) parameters to manage UAV flying behaviors. Users can adjust these PID parameters during flight. However, flight control programs lack sufficient safety checks on user-provided PID parameters, leading to a severe UAV vulnerability - the input validation bug. This occurs when a user misconfigures PID parameters, causing dangerous states like deviation from the expected path, loss of control, or crash. Prior works use random testing like fuzzing, but these are not effective in the three-dimensional search space of PID parameters. The expensive dynamic execution of UAV tests further hinders random testing performance. We address PID parameter misconfiguration by combining the Routh-Hurwitz stability criterion with coordinate search, introducing RouthSearch. Instead of ad-hoc identification, RouthSearch principledly determines valid ranges for three-dimensional PID parameters. We first leverage the Routh-Hurwitz Criterion to identify a theoretical PID parameter boundary, then refine it using efficient coordinate search. The determined valid range can filter misconfigured PID parameters from users during flight and help discover logical bugs in flight control programs. We evaluated RouthSearch across eight flight modes in PX4 and Ardupilot. Results show RouthSearch determines valid ranges with 92.0% accuracy compared to ground truth. RouthSearch discovers 3,853",10,True,UNSCREENED,"[{""abstract_available"": true, ""db"": ""arxiv"", ""query"": ""PX4 ArduPilot testing"", ""rank"": 1, ""source_id"": ""arxiv:2505.02357""}, {""abstract_available"": true, ""db"": ""arxiv"", ""query"": ""ArduPilot fuzzing"", ""rank"": 2, ""source_id"": ""arxiv:2505.02357""}]","{""abstract_available"": true, ""db"": ""arxiv"", ""query"": ""PX4 ArduPilot testing"", ""rank"": 1, ""source_id"": ""arxiv:2505.02357""}"
arxiv:2602.07264,"aerial-autonomy-stack -- a Faster-than-real-time, Autopilot-agnostic, ROS2 Framework to Simulate and Deploy Perception-based Drones",2026,https://arxiv.org/abs/2602.07264,"Unmanned aerial vehicles are rapidly transforming multiple applications, from agricultural and infrastructure monitoring to logistics and defense. Introducing greater autonomy to these systems can simultaneously make them more effective as well as reliable. Thus, the ability to rapidly engineer and deploy autonomous aerial systems has become of strategic importance. In the 2010s, a combination of high-performance compute, data, and open-source software led to the current deep learning and AI boom, unlocking decades of prior theoretical work. Robotics is on the cusp of a similar transformation. However, physical AI faces unique hurdles, often combined under the umbrella term ""simulation-to-reality gap"". These span from modeling shortcomings to the complexity of vertically integrating the highly heterogeneous hardware and software systems typically found in field robots. To address the latter, we introduce aerial-autonomy-stack, an open-source, end-to-end framework designed to streamline the pipeline from (GPU-accelerated) perception to (flight controller-based) action. Our stack allows the development of aerial autonomy using ROS2 and provides a common interface for two of the most popular autopilots: PX4 and ArduPilot. We show that it supports over 20x faster-than-real-time, end-to-end simulation of a complete development and deployment stack -- including edge compute and networking -- significantly compressing the build-test-release cycle of perception-based autonomy.",8,True,UNSCREENED,"[{""abstract_available"": true, ""db"": ""arxiv"", ""query"": ""PX4 ArduPilot testing"", ""rank"": 4, ""source_id"": ""arxiv:2602.07264""}]","{""abstract_available"": true, ""db"": ""arxiv"", ""query"": ""PX4 ArduPilot testing"", ""rank"": 4, ""source_id"": ""arxiv:2602.07264""}"
doi:10.1016/j.compeleceng.2026.111144,"Flight log analysis and recovery for open-source drones: Focusing on ArduPilot, PX4, and Betaflight",2026,https://doi.org/10.1016/j.compeleceng.2026.111144,,8,False,UNSCREENED,"[{""abstract_available"": false, ""db"": ""crossref"", ""query"": ""PX4 ArduPilot failsafe differential testing"", ""rank"": 3, ""source_id"": ""doi:10.1016/j.compeleceng.2026.111144""}, {""abstract_available"": false, ""db"": ""crossref"", ""query"": ""PX4 ArduPilot recovery benchmark"", ""rank"": 2, ""source_id"": ""doi:10.1016/j.compeleceng.2026.111144""}]","{""abstract_available"": false, ""db"": ""crossref"", ""query"": ""PX4 ArduPilot failsafe differential testing"", ""rank"": 3, ""source_id"": ""doi:10.1016/j.compeleceng.2026.111144""}"
arxiv:2601.15486,A Universal Large Language Model -- Drone Command and Control Interface,2026,https://arxiv.org/abs/2601.15486,"The use of artificial intelligence (AI) for drone control can have a transformative impact on drone capabilities, especially when real world information can be integrated with drone sensing, command, and control, part of a growing field of physical AI. Large language models (LLMs) can be advantageous if trained at scale on general knowledge, but especially and in particular when the training data includes information such as detailed map geography topology of the entire planet, as well as the ability to access real time situational data such as weather. However, challenges remain in the interface between drones and LLMs in general, with each application requiring a tedious, labor intensive effort to connect the LLM trained knowledge to drone command and control. Here, we solve that problem, using an interface strategy that is LLM agnostic and drone agnostic, providing the first universal, versatile, comprehensive and easy to use drone control interface. We do this using the new model context protocol (MCP) standard, an open standard that provides a universal way for AI systems to access external data, tools, and services. We develop and deploy a cloud based Linux machine hosting an MCP server that supports the Mavlink protocol, an ubiquitous drone control language used almost universally by millions of drones including Ardupilot and PX4 framework.We demonstrate flight control of a real unmanned aerial vehicle. In further testing, we demonstrate extensive flight planning and c",6,False,UNSCREENED,"[{""abstract_available"": true, ""db"": ""arxiv"", ""query"": ""PX4 ArduPilot testing"", ""rank"": 5, ""source_id"": ""arxiv:2601.15486""}]","{""abstract_available"": true, ""db"": ""arxiv"", ""query"": ""PX4 ArduPilot testing"", ""rank"": 5, ""source_id"": ""arxiv:2601.15486""}"
doi:10.1109/cars67163.2025.11337711,Security Triage of Flight-Critical ArduPilot and PX4 Modules with a Multi-LLM Ensemble,2025,https://doi.org/10.1109/cars67163.2025.11337711,,6,False,UNSCREENED,"[{""abstract_available"": false, ""db"": ""crossref"", ""query"": ""PX4 ArduPilot failsafe differential testing"", ""rank"": 1, ""source_id"": ""doi:10.1109/cars67163.2025.11337711""}, {""abstract_available"": false, ""db"": ""crossref"", ""query"": ""PX4 ArduPilot recovery benchmark"", ""rank"": 1, ""source_id"": ""doi:10.1109/cars67163.2025.11337711""}]","{""abstract_available"": false, ""db"": ""crossref"", ""query"": ""PX4 ArduPilot failsafe differential testing"", ""rank"": 1, ""source_id"": ""doi:10.1109/cars67163.2025.11337711""}"
doi:10.1109/iwcmc.2019.8766667,MAVSec: Securing the MAVLink Protocol for Ardupilot/PX4 Unmanned Aerial Systems,2019,https://doi.org/10.1109/iwcmc.2019.8766667,,6,False,UNSCREENED,"[{""abstract_available"": false, ""db"": ""crossref"", ""query"": ""PX4 ArduPilot failsafe differential testing"", ""rank"": 2, ""source_id"": ""doi:10.1109/iwcmc.2019.8766667""}, {""abstract_available"": false, ""db"": ""crossref"", ""query"": ""PX4 ArduPilot recovery benchmark"", ""rank"": 3, ""source_id"": ""doi:10.1109/iwcmc.2019.8766667""}]","{""abstract_available"": false, ""db"": ""crossref"", ""query"": ""PX4 ArduPilot failsafe differential testing"", ""rank"": 2, ""source_id"": ""doi:10.1109/iwcmc.2019.8766667""}"
doi:10.3846/mla.2012.66,ERROR ANALYSIS OF INS ARRANGED IN ARDUPILOT MEGA / „ARDUPILOT MEGA“ AUTOPILOTO INERCINIO NAVIGACIJOS ĮRENGINIO PAKLAIDŲ ANALIZĖ,2012,https://doi.org/10.3846/mla.2012.66,"Inertial navigation systems (INS) are widely used for controlling piloted or unmanned aerial vehicles (UAV). Automatic control equipment with INS has error budget making a huge impact on the accuracy of UAV navigation. The paper analyzes INS errors and types of errors. Experiments have been done using small UAV. Santrauka Inerciniai navigacijos įrenginiai (INS) plačiai naudojami pilotuojamuose ir nepilotuojamuose orlaiviuose. Nepilotuojamo orlaivio skrydžio tikslumui didelę įtaką turi orlaivio automatinio valdymo sistemos įrenginių paklaidos. Tyrime nagrinėjamas nepilotuojamas orlaivis, kurio automatinio valdymo sistemos dalis yra inercinis navigacijos įrenginys. Analizuojami INS įrenginių paklaidų šaltiniai, paklaidų tipai. Eksperimentiniai tyrimai atlikti naudojant mažo nepilotuojamo orlaivio automatinio valdymo sistemą.",6,False,UNSCREENED,"[{""abstract_available"": true, ""db"": ""crossref"", ""query"": ""PX4 ArduPilot failsafe differential testing"", ""rank"": 13, ""source_id"": ""doi:10.3846/mla.2012.66""}, {""abstract_available"": true, ""db"": ""crossref"", ""query"": ""PX4 ArduPilot recovery benchmark"", ""rank"": 7, ""source_id"": ""doi:10.3846/mla.2012.66""}]","{""abstract_available"": true, ""db"": ""crossref"", ""query"": ""PX4 ArduPilot failsafe differential testing"", ""rank"": 13, ""source_id"": ""doi:10.3846/mla.2012.66""}"
doi:10.1109/metroaerospace.2015.7180682,Safety improvement of fixed wing mini-UAV based on handy FDI current sensor and a FailSafe configuration of control surface actuators,2015,https://doi.org/10.1109/metroaerospace.2015.7180682,,5,False,UNSCREENED,"[{""abstract_available"": false, ""db"": ""crossref"", ""query"": ""UAV autopilot failsafe configuration testing fuzzing"", ""rank"": 2, ""source_id"": ""doi:10.1109/metroaerospace.2015.7180682""}]","{""abstract_available"": false, ""db"": ""crossref"", ""query"": ""UAV autopilot failsafe configuration testing fuzzing"", ""rank"": 2, ""source_id"": ""doi:10.1109/metroaerospace.2015.7180682""}"
doi:10.1109/sysose.2011.5966615,Fuzzy logic controlled UAV autopilot using C-Mean clustering,2011,https://doi.org/10.1109/sysose.2011.5966615,,5,False,UNSCREENED,"[{""abstract_available"": false, ""db"": ""crossref"", ""query"": ""UAV autopilot failsafe configuration testing fuzzing"", ""rank"": 32, ""source_id"": ""doi:10.1109/sysose.2011.5966615""}]","{""abstract_available"": false, ""db"": ""crossref"", ""query"": ""UAV autopilot failsafe configuration testing fuzzing"", ""rank"": 32, ""source_id"": ""doi:10.1109/sysose.2011.5966615""}"
